Link to Full Case Details,Case Number,Defendant Name,Offence Date,Local Authority,Main Activity,Offence Description,Total Fine
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4823792,4823792,Gary Saville[1],17/06/2024,Wyre,81300 - LANDSCAPE SERVICE ACTIVITIES,No Employers Liability Insurance,1000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4804681,4804681,Intelligent Metal Solutions Limited[1],26/02/2024,Rotherham,38320 - RECOVERY OF SORTED MATERIALS,Failure to guard the McIntyre 2035 Baler (Serial: 303) as company had removed the guard separating the controls and the danger zone resulting in an employee being able to operate the controls of the baler whilst accessing the danger zone and employee was injured through a partial amputation of the wrist to the right hand.,24000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4820892,4820892,Groundwater Lift Trucks Limited[1],20/12/2023,Aberdeenshire UA,77390 - RENT/LEAS M/C /EQPT NEC,"On the morning of 20th December 2023, the DP was loading a quad bike on to a tilt bed trailer when the vehicle began rolling backwards. The DP pressed the throttle and the quad bike raced upward and fell off of the trailer. The DP fell approximately 2 metres on to a concrete surface.",180000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4789280,4789280,EMC Elite Engineering Services Limited[1],20/11/2023,Basildon,33120 - REPAIR OF MACHINERY,"Prosecution relating to failure to plan, supervise or carry out work at height safety on 20 November 2022 leading to fall incident seriously injuring employee",52500.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4797069,4797069,Oriental Delight (UK) Limited[1],20/09/2023,Brent,10890 - MF OTHER FOOD PRODUCTS NEC,Proactive investigation following poor standards witnessed during an inspection.,150000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4804453,4804453,Warmsworth Stone Limited[1],21/09/2023,Barnsley,23700 - CUT/SHAPE/FINISH STONE,"Warmsworth Stone Limited, being a person upon whom an inspector served Improvement Notices using his/her power under section 21 of the health and safety at Work etc Act 1974 (“the Act”), contravened the requirements imposed by those notices which is an offence contrary to section 33(1)(g) of the Act. Failed to comply with COSHH reg 7(1) contrary to section 33(1) (c) of the Act",18000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4811196,4811196,Dean Coslett[1],15/02/2024,Main Activity	43220 - INSTALL PLUMB/HEAT/AIR-CON,43220 - INSTALL PLUMB/HEAT/AIR-CON,Unregistered gaswork. Gaswork undertaken classed as ‘At Risk’,0.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4802451,4802451,Floplast Ltd[1],13/09/2023,Swale,22290 - MF OF OTHER PLASTIC PRODUCTS,Lack of segregation between pedestrians and vehicles under HSWA 1974 S2(1),400000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4810141,4810141,Greenlife Property Developments Ltd[1],06/09/2023,Blaenau Gwent UA,41100 - DEVELOPMENT BUILDING PROJECTS,Non-compliance with Prohibition Notice P/PN/CJ/060923/GPDL01 and Improvement Notice IN/RN/110923/GPDL/1 served for a failure to take all practicable steps to prevent danger to any person in relation to excavation works.,40000.00
https://resources.hse.gov.uk/convictions/case/case_details.asp?SF=CN&SV=4804460,4804460,Simon Jonathan Frith[1],16/08/2023,Barnsley,23700 - CUT/SHAPE/FINISH STONE,Section 37 HSWA prosecution - the failure of the company to comply with the Improvement Notices was committed with their consent or connivance or was attributable to their neglect. This is an offence contrary to section 33(1)(a) by virtue of section 37(1) of the Act.,1062.00
